id,agent,start,end,direction,status,activity,comment
,dshevchenko,2025-10-20T13:00:00,2025-10-20T22:00:00,calls,work,,
,dshevchenko,2025-10-23T15:00:00,2025-10-24T00:00:00,calls,work,,
,dshevchenko,2025-10-24T15:00:00,2025-10-25T00:00:00,calls,work,,
,dshevchenko,2025-10-25T22:00:00,2025-10-26T07:00:00,calls,work,,
,dshevchenko,2025-10-27T13:00:00,2025-10-27T22:00:00,calls,work,,
,dshevchenko,2025-10-28T14:00:00,2025-10-28T23:00:00,calls,work,,
,dshevchenko,2025-10-30T09:00:00,2025-10-30T18:00:00,calls,work,,
,dshevchenko,2025-10-31T13:00:00,2025-10-31T22:00:00,calls,work,,
,okrivonosova,2025-10-02T07:00:00,2025-10-02T16:00:00,calls,work,,
,okrivonosova,2025-10-03T05:00:00,2025-10-03T14:00:00,calls,work,,
,okrivonosova,2025-10-04T06:00:00,2025-10-04T15:00:00,calls,work,,
,okrivonosova,2025-10-05T12:00:00,2025-10-05T21:00:00,calls,work,,
,okrivonosova,2025-10-06T00:00:00,2025-10-07T00:00:00,calls,vacation,,
,okrivonosova,2025-10-07T00:00:00,2025-10-08T00:00:00,calls,vacation,,
,okrivonosova,2025-10-08T00:00:00,2025-10-09T00:00:00,calls,vacation,,
,okrivonosova,2025-10-11T15:00:00,2025-10-12T00:00:00,calls,work,,
,okrivonosova,2025-10-12T00:00:00,2025-10-13T00:00:00,calls,vacation,,
,okrivonosova,2025-10-13T00:00:00,2025-10-14T00:00:00,calls,vacation,,
,okrivonosova,2025-10-14T00:00:00,2025-10-15T00:00:00,calls,vacation,,
,okrivonosova,2025-10-16T06:00:00,2025-10-16T15:00:00,calls,work,,
,okrivonosova,2025-10-17T07:00:00,2025-10-17T16:00:00,calls,work,,
,okrivonosova,2025-10-19T22:00:00,2025-10-20T07:00:00,calls,work,,
,okrivonosova,2025-10-21T15:00:00,2025-10-22T00:00:00,calls,work,,
,okrivonosova,2025-10-22T14:00:00,2025-10-22T23:00:00,calls,work,,
,okrivonosova,2025-10-23T14:00:00,2025-10-23T23:00:00,calls,work,,
,okrivonosova,2025-10-24T22:00:00,2025-10-25T07:00:00,calls,work,,
,okrivonosova,2025-10-26T16:00:00,2025-10-27T01:00:00,calls,work,,
,okrivonosova,2025-10-27T15:00:00,2025-10-28T00:00:00,calls,work,,
,okrivonosova,2025-10-28T16:00:00,2025-10-29T01:00:00,calls,work,,
,okrivonosova,2025-10-31T14:00:00,2025-10-31T23:00:00,calls,work,,
,bmarkus,2025-10-01T10:00:00,2025-10-01T19:00:00,calls,work,,
,bmarkus,2025-10-02T07:00:00,2025-10-02T16:00:00,calls,work,,
,bmarkus,2025-10-04T07:00:00,2025-10-04T16:00:00,calls,work,,
,bmarkus,2025-10-05T07:00:00,2025-10-05T16:00:00,calls,work,,
,bmarkus,2025-10-06T22:00:00,2025-10-07T07:00:00,calls,work,,
,bmarkus,2025-10-08T22:00:00,2025-10-09T07:00:00,calls,work,,
,bmarkus,2025-10-10T15:00:00,2025-10-11T00:00:00,calls,work,,
,bmarkus,2025-10-11T15:00:00,2025-10-12T00:00:00,calls,work,,
,bmarkus,2025-10-12T14:00:00,2025-10-12T23:00:00,calls,work,,
,bmarkus,2025-10-13T15:00:00,2025-10-14T00:00:00,calls,work,,
,bmarkus,2025-10-15T14:00:00,2025-10-15T23:00:00,calls,work,,
,bmarkus,2025-10-16T15:00:00,2025-10-17T00:00:00,calls,work,,
,bmarkus,2025-10-17T14:00:00,2025-10-17T23:00:00,calls,work,,
,bmarkus,2025-10-18T09:00:00,2025-10-18T18:00:00,calls,work,,
,bmarkus,2025-10-20T07:00:00,2025-10-20T16:00:00,calls,work,,
,bmarkus,2025-10-21T07:00:00,2025-10-21T16:00:00,calls,work,,
,bmarkus,2025-10-22T13:00:00,2025-10-22T22:00:00,calls,work,,
,bmarkus,2025-10-23T12:00:00,2025-10-23T21:00:00,calls,work,,
,bmarkus,2025-10-24T07:00:00,2025-10-24T16:00:00,calls,work,,
,bmarkus,2025-10-27T07:00:00,2025-10-27T16:00:00,calls,work,,
,bmarkus,2025-10-28T13:00:00,2025-10-28T22:00:00,calls,work,,
,bmarkus,2025-10-30T09:00:00,2025-10-30T18:00:00,calls,work,,
,bmarkus,2025-10-31T09:00:00,2025-10-31T18:00:00,calls,work,,
,kdenisiuk,2025-10-01T14:00:00,2025-10-01T23:00:00,calls,work,,
,kdenisiuk,2025-10-02T16:00:00,2025-10-03T01:00:00,calls,work,,
,kdenisiuk,2025-10-03T15:00:00,2025-10-04T00:00:00,calls,work,,
,kdenisiuk,2025-10-04T16:00:00,2025-10-05T01:00:00,calls,work,,
,kdenisiuk,2025-10-05T08:00:00,2025-10-05T12:00:00,calls,work,,
,kdenisiuk,2025-10-06T15:00:00,2025-10-07T00:00:00,calls,work,,
,kdenisiuk,2025-10-07T15:00:00,2025-10-08T00:00:00,calls,work,,
,kdenisiuk,2025-10-08T16:00:00,2025-10-09T01:00:00,calls,work,,
,kdenisiuk,2025-10-09T19:00:00,2025-10-09T20:00:00,calls,work,,
,kdenisiuk,2025-10-10T18:00:00,2025-10-10T22:00:00,calls,work,,
,kdenisiuk,2025-10-11T16:00:00,2025-10-12T01:00:00,calls,work,,
,kdenisiuk,2025-10-12T16:00:00,2025-10-13T01:00:00,calls,work,,
,kdenisiuk,2025-10-15T00:00:00,2025-10-16T00:00:00,calls,vacation,,
,kdenisiuk,2025-10-16T00:00:00,2025-10-17T00:00:00,calls,vacation,,
,kdenisiuk,2025-10-17T00:00:00,2025-10-18T00:00:00,calls,vacation,,
,kdenisiuk,2025-10-18T00:00:00,2025-10-19T00:00:00,calls,vacation,,
,kdenisiuk,2025-10-19T00:00:00,2025-10-20T00:00:00,calls,vacation,,
,kdenisiuk,2025-10-20T00:00:00,2025-10-21T00:00:00,calls,vacation,,
,kdenisiuk,2025-10-21T16:00:00,2025-10-22T01:00:00,calls,work,,
,kdenisiuk,2025-10-22T15:00:00,2025-10-23T00:00:00,calls,work,,
,kdenisiuk,2025-10-23T14:00:00,2025-10-23T23:00:00,calls,work,,
,kdenisiuk,2025-10-24T20:00:00,2025-10-24T22:00:00,calls,work,,
,kdenisiuk,2025-10-26T15:00:00,2025-10-27T00:00:00,calls,work,,
,kdenisiuk,2025-10-27T09:00:00,2025-10-27T18:00:00,calls,work,,
,kdenisiuk,2025-10-28T20:00:00,2025-10-28T21:00:00,calls,work,,
,kdenisiuk,2025-10-29T16:00:00,2025-10-30T01:00:00,calls,work,,
,kdenisiuk,2025-10-30T16:00:00,2025-10-31T01:00:00,calls,work,,
,kdenisiuk,2025-10-31T16:00:00,2025-11-01T01:00:00,calls,work,,
,oolenichenko,2025-10-01T05:00:00,2025-10-01T14:00:00,calls,work,,
,oolenichenko,2025-10-02T05:00:00,2025-10-02T14:00:00,calls,work,,
,oolenichenko,2025-10-04T14:00:00,2025-10-04T23:00:00,calls,work,,
,oolenichenko,2025-10-05T08:00:00,2025-10-05T10:00:00,calls,work,,
,oolenichenko,2025-10-06T05:00:00,2025-10-06T14:00:00,calls,work,,
,oolenichenko,2025-10-08T14:00:00,2025-10-08T23:00:00,calls,work,,
,oolenichenko,2025-10-09T09:00:00,2025-10-09T15:00:00,calls,work,,
,oolenichenko,2025-10-10T06:00:00,2025-10-10T15:00:00,calls,work,,
,oolenichenko,2025-10-12T07:00:00,2025-10-12T10:00:00,calls,work,,
,oolenichenko,2025-10-13T14:00:00,2025-10-13T23:00:00,calls,work,,
,oolenichenko,2025-10-14T12:00:00,2025-10-14T21:00:00,calls,work,,
,oolenichenko,2025-10-15T07:00:00,2025-10-15T16:00:00,calls,work,,
,oolenichenko,2025-10-18T06:00:00,2025-10-18T15:00:00,calls,work,,
,oolenichenko,2025-10-19T09:00:00,2025-10-19T18:00:00,calls,work,,
,oolenichenko,2025-10-20T07:00:00,2025-10-20T16:00:00,calls,work,,
,oolenichenko,2025-10-21T07:00:00,2025-10-21T16:00:00,calls,work,,
,oolenichenko,2025-10-22T08:00:00,2025-10-22T15:00:00,calls,work,,
,oolenichenko,2025-10-23T07:00:00,2025-10-23T16:00:00,calls,work,,
,oolenichenko,2025-10-25T15:00:00,2025-10-26T00:00:00,calls,work,,
,oolenichenko,2025-10-26T12:00:00,2025-10-26T21:00:00,calls,work,,
,oolenichenko,2025-10-27T13:00:00,2025-10-27T22:00:00,calls,work,,
,oolenichenko,2025-10-30T06:00:00,2025-10-30T15:00:00,calls,work,,
,oolenichenko,2025-10-31T06:00:00,2025-10-31T15:00:00,calls,work,,
,imatsak,2025-10-01T14:00:00,2025-10-01T23:00:00,calls,work,,
,imatsak,2025-10-02T09:00:00,2025-10-02T18:00:00,calls,work,,
,imatsak,2025-10-03T09:00:00,2025-10-03T18:00:00,calls,work,,
,imatsak,2025-10-05T22:00:00,2025-10-06T07:00:00,calls,work,,
,imatsak,2025-10-08T09:00:00,2025-10-08T18:00:00,calls,work,,
,imatsak,2025-10-09T07:00:00,2025-10-09T16:00:00,calls,work,,
,imatsak,2025-10-10T06:00:00,2025-10-10T15:00:00,calls,work,,
,imatsak,2025-10-11T06:00:00,2025-10-11T15:00:00,calls,work,,
,imatsak,2025-10-14T07:00:00,2025-10-14T16:00:00,calls,work,,
,imatsak,2025-10-16T07:00:00,2025-10-16T16:00:00,calls,work,,
